2020-11-13 01:19:57.216838,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 01:25:44.187785,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 01:49:58.086082,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 01:55:44.917786,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 02:19:58.688830,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 02:25:45.804735,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 02:49:59.514771,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 02:55:46.718458,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 03:20:00.119653,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 03:25:47.331560,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 03:50:01.000775,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 03:55:48.437850,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 04:20:01.830787,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 04:25:49.311997,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 04:50:02.436590,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 04:55:50.141734,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 05:20:03.553035,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 05:25:51.002179,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 05:50:04.403482,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 05:55:51.881797,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 06:20:05.980896,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 06:25:53.009791,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 06:50:06.835411,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
2020-11-13 06:55:53.879623,T1: S8 IS SO FUN,10.5,1.29,Diamond 4,34 LP,349W,368L
2020-11-13 07:20:07.966238,T1: Hulksmash1337,10.5,0.10,Diamond 1,70 LP,471W,399L
